"PF_SteWhl_An","x","x","x","x","rad",-23,23," ","1ms","float32"
"PF_SteWhlAn_Qf","x","x","x","x","___","0","3",,"1ms","uint8"
"PF_SteWhlAn_Spd"," ","x","x"," ","deg/s",-1000,1000,,"1ms","float32"
"PF_TorsnBar_Tq","x"," ","x","x","Nm",-21.25,21.25," ","1ms","float32"
"PF_TorsnBarTq_Qf","x"," ","x","x","-",0,3," ","1ms","uint8"
"PF_PistnPressA_P",,,"x","x","bar",0,200," ","1ms","float32"
"PF_PistnPressAP_Qf",,,"x","x","-",0,3," ","1ms","uint8"
"PF_PistnPressB_P",,,"x","x","bar",0,200," ","1ms","float32"
"PF_PistnPressBP_Qf",,,"x","x","-",0,3," ","1ms","uint8"
"PF_PrePress_P",,,,"x","bar",0,6," ","1ms","float32"
"PF_PrePressP_Qf",,,,"x","-",0,3," ","1ms","uint8"
"PF_SysOilTemp_Te",,,"x",,"°C",-40,120," ","1ms","float32"
"PF_SysOilTempTe_Qf",,,"x",,"-",0,3," ","1ms","uint8"
"PF_MotOilTemp_Te",,,"x",,"°C",-40,120," ","1ms","float32"
"PF_MotOilTempTe_Qf",,,"x",,"-",0,3," ","1ms","uint8"
"PF_FiltMonDiffPress_Pr",,,,"x","bar",0,8," ","1ms","float32"
"PF_FiltMonDiffPressPr_Qf",,,,"x","-",0,3," ","1ms","uint8"
"PF_SteAsst_Tq",,,,"x","Nm",-10000,10000,,,"float32"
"PF_SteAsstTq_Qf",,,,"x","-",0,3," ",,"uint8"
"PF_SfcOn_D ( InM7.3 Sm recieves this signal and SM sends SM_SfcMpOn_D to other Components.)","x"," ",,"x","-",0,3," ","4ms","uint8"
"PF_SfcOnD_Qf","x",,,"x",,0,3,,"4ms",
"PF_VcOn_B"," ","x",,"x","-",0,1," ","1ms","bool"
"PF_VcOnB_Qf",,"x",,"x",,0,3,,"1ms",
"PF_MtrMax_Tq",,,"x",,"Nm",0,30," ","10ms","float32"
"PF_MtrMaxTq_Qf",,,"x",,,0,3," ","10ms","uint8"
"PF_MtrEst_Tq"," "," ","x","x","Nm",-30,30," ","10ms","float32"
"PF_MtrEstTq_Qf"," "," ","x","x","-",0,3," ","10ms","uint8"
"PF_MtrWindTempA_Te"," "," ","x",,"°C",-40,200," ","2ms","float32"
"PF_MtrWindTempATe_Qf"," "," ","x",,"-",0,3," ","2ms","uint8"
"PF_MtrWindTempB_Te"," "," ","x",,"°C",-40,200," ","2ms","float32"
"PF_MtrWindTempBTe_Qf"," "," ","x",,"-",0,3," ","2ms","uint8"
"PF_MtrWindTempEstA_Te"," "," ","x",,"°C",-40,200," ","2ms","float32"
"PF_MtrWindTempEstATe_Qf"," "," ","x",,"-",0,3," ","2ms","uint8"
"PF_MtrWindTempEstB_Te"," "," ","x",,"°C",-40,200," ","2ms","float32"
"PF_MtrWindTempEstBTe_Qf"," "," ","x",,"-",0,3," ","2ms","uint8"
"PF_MtrSpd_As"," ",,"x","x","rpm",-5000,5000," ","1ms","float32"
"PF_MtrSpdAs_Qf",,,"x","x",,0,3," ","1ms","uint8"
"PF_MtrDriveSplyQ1_U",,,"x",,"V",-32,32," ","1ms","float32"
"PF_MtrDriveSplyQ1_Qf",,,"x",,"-",0,3," ","1ms","uint8"
"PF_MtrDriveSplyQ2_U",,,"x",,"V",-32,32," ","1ms","float32"
" ",,,"x",,"-",0,3," ","1ms","uint8"
"PF_MtrDriveSplyD1_U",,,"x",,"V",-32,32," ","1ms","float32"
"PF_MtrDriveSplyD1_Qf",,,"x",,"-",0,3," ","1ms","uint8"
"PF_MtrDriveSplyD2_U",,,"x",,"V",-32,32," ","1ms","float32"
"PF_MtrDriveSplyD2_Qf",,,"x",,"-",0,3," ","1ms","uint8"
"PF_MtrParkQ1_Am",,,"x",,"A",-200,200," ","1ms","float32"
"PF_MtrParkQ1_Qf",,,"x",,"-",0,3," ","1ms","uint8"
"PF_MtrParkQ2_Am",,,"x",,"A",-200,200," ","1ms","float32"
"PF_MtrParkQ2_Qf",,,"x",,"-",0,3," ","1ms","uint8"
"PF_MtrParkD1_Am",,,"x",,"A",-200,200," ","1ms","float32"
"PF_MtrParkD1_Qf",,,"x",,"-",0,3," ","1ms","uint8"
"PF_MtrParkD2_Am",,,"x",,"A",-200,200," ","1ms","float32"
